Job_Title,Experience_Level,Employment_Type,Work_Models,Work_Year,Employee_Residence,Salary, Salary_Currency ,Company_Location,Company_Size,Salary_Range,Per_Year_Pakage
Applied Scientist,Senior-level,Full-time,On-site,2023,United States,138600, USD ,United States,Medium,High,1663200
Data Scientist,Senior-level,Full-time,Remote,2022,United States,138600, USD ,United States,Medium,High,1663200
Machine Learning Researcher,Mid-level,Full-time,On-site,2023,United States,138700, USD ,United States,Medium,High,1664400
Machine Learning Engineer,Senior-level,Full-time,On-site,2023,United States,138700, USD ,United States,Medium,High,1664400
Data Scientist,Senior-level,Full-time,On-site,2023,United States,138700, USD ,United States,Medium,High,1664400
Data Engineer,Senior-level,Full-time,On-site,2023,United States,138750, USD ,United States,Medium,High,1665000
Business Intelligence Engineer,Senior-level,Full-time,On-site,2023,United States,138750, USD ,United States,Medium,High,1665000
Analytics Engineer,Senior-level,Full-time,Remote,2023,United States,138750, USD ,United States,Medium,High,1665000
Data Science Manager,Senior-level,Full-time,Remote,2023,United States,138750, USD ,United States,Medium,High,1665000
Data Engineer,Senior-level,Full-time,Remote,2023,United States,138750, USD ,United States,Medium,High,1665000
Data Engineer,Senior-level,Full-time,Remote,2022,United States,138750, USD ,United States,Medium,High,1665000
Analytics Engineer,Senior-level,Full-time,Remote,2022,United States,138750, USD ,United States,Medium,High,1665000
Data Scientist,Senior-level,Full-time,Remote,2023,United States,138784, USD ,United States,Medium,High,1665408
Data Analyst,Senior-level,Full-time,On-site,2023,United States,138800, USD ,United States,Medium,High,1665600
Data Analyst,Senior-level,Full-time,On-site,2023,United States,138860, USD ,United States,Medium,High,1666320
Data Scientist,Senior-level,Full-time,On-site,2023,United States,138900, USD ,United States,Medium,High,1666800
Data Analyst,Senior-level,Full-time,On-site,2023,United States,138900, USD ,United States,Medium,High,1666800
Data Scientist,Mid-level,Full-time,On-site,2023,United States,138900, USD ,United States,Medium,High,1666800
Business Intelligence Engineer,Senior-level,Full-time,Remote,2023,United States,138900, USD ,United States,Medium,High,1666800
Data Analytics Manager,Senior-level,Full-time,On-site,2023,United States,138900, USD ,United States,Medium,High,1666800
Data Scientist,Senior-level,Full-time,On-site,2022,United States,138938, USD ,United States,Medium,High,1667256
Data Scientist,Senior-level,Full-time,On-site,2024,United States,139000, USD ,United States,Medium,High,1668000
Data Scientist,Senior-level,Full-time,Remote,2023,United States,139000, USD ,United States,Medium,High,1668000
Business Intelligence Engineer,Senior-level,Full-time,On-site,2023,United States,139000, USD ,United States,Medium,High,1668000
Data Scientist,Senior-level,Full-time,On-site,2023,United States,139000, USD ,United States,Medium,High,1668000
Data Analyst,Senior-level,Full-time,On-site,2023,United States,139000, USD ,United States,Medium,High,1668000
Research Engineer,Senior-level,Full-time,On-site,2023,United States,139000, USD ,United States,Medium,High,1668000
Data Engineer,Senior-level,Full-time,Remote,2023,United States,139000, USD ,United States,Medium,High,1668000
Data Science Consultant,Senior-level,Full-time,On-site,2022,United States,139000, USD ,United States,Medium,High,1668000
Data Engineer,Mid-level,Full-time,On-site,2023,United States,139152, USD ,United States,Large,High,1669824
Business Intelligence Specialist,Senior-level,Full-time,On-site,2023,United States,139200, USD ,United States,Medium,High,1670400
Data Engineer,Senior-level,Full-time,On-site,2023,United States,139400, USD ,United States,Medium,High,1672800
Data Scientist,Senior-level,Full-time,On-site,2023,United States,139500, USD ,United States,Medium,High,1674000
Data Engineer,Senior-level,Full-time,Remote,2023,United States,139500, USD ,United States,Medium,High,1674000
Data Management Specialist,Senior-level,Full-time,On-site,2023,United States,139500, USD ,United States,Medium,High,1674000
Data Scientist,Senior-level,Full-time,Remote,2023,United States,139500, USD ,United States,Medium,High,1674000
Data Engineer,Senior-level,Full-time,On-site,2023,United States,139500, USD ,United States,Medium,High,1674000
Machine Learning Engineer,Senior-level,Full-time,On-site,2023,United States,139500, USD ,United States,Medium,High,1674000
Data Analyst,Senior-level,Full-time,On-site,2023,United States,139600, USD ,United States,Medium,High,1675200
Data Analyst,Senior-level,Full-time,On-site,2022,United States,139600, USD ,United States,Medium,High,1675200
Data Engineer,Senior-level,Full-time,On-site,2024,United States,139700, USD ,United States,Medium,High,1676400
Data Engineer,Senior-level,Full-time,On-site,2023,United States,139700, USD ,United States,Medium,High,1676400
MLOps Engineer,Senior-level,Full-time,On-site,2023,United States,139700, USD ,United States,Medium,High,1676400
Data Engineer,Senior-level,Full-time,Remote,2023,United States,139700, USD ,United States,Medium,High,1676400
Machine Learning Engineer,Senior-level,Full-time,Remote,2023,United States,139750, USD ,United States,Medium,High,1677000
Data Engineer,Senior-level,Full-time,On-site,2024,United States,139810, USD ,United States,Medium,High,1677720
Data Engineer,Senior-level,Full-time,On-site,2023,United States,139810, USD ,United States,Medium,High,1677720
Data Engineer,Senior-level,Full-time,On-site,2022,United States,139860, USD ,United States,Medium,High,1678320
Data Lead,Senior-level,Full-time,On-site,2024,United States,140000, USD ,United States,Medium,High,1680000
Research Engineer,Mid-level,Full-time,On-site,2024,United States,140000, USD ,United States,Medium,High,1680000
Data Engineer,Senior-level,Full-time,Remote,2024,United States,140000, USD ,United States,Medium,High,1680000
Data Analyst,Senior-level,Full-time,Remote,2024,United States,140000, USD ,United States,Medium,High,1680000
Data Engineer,Senior-level,Full-time,On-site,2024,United States,140000, USD ,United States,Medium,High,1680000
Data Analyst,Entry-level,Full-time,On-site,2024,United States,140000, USD ,United States,Medium,High,1680000
Data Engineer,Mid-level,Full-time,On-site,2024,United States,140000, USD ,United States,Medium,High,1680000
Analytics Engineer,Senior-level,Full-time,Remote,2024,United States,140000, USD ,United States,Medium,High,1680000
Data Engineer,Senior-level,Full-time,On-site,2024,United Kingdom,140000, GBP ,United Kingdom,Medium,High,1680000
Analytics Engineer,Senior-level,Full-time,On-site,2024,Canada,140000, USD ,Canada,Medium,High,1680000
Data Analyst,Senior-level,Full-time,On-site,2024,Canada,140000, USD ,Canada,Medium,High,1680000
Machine Learning Engineer,Senior-level,Full-time,On-site,2023,United States,140000, USD ,United States,Medium,High,1680000
Data Scientist,Senior-level,Full-time,On-site,2023,United States,140000, USD ,United States,Medium,High,1680000
Data Engineer,Mid-level,Full-time,On-site,2023,United States,140000, USD ,United States,Medium,High,1680000
Data Modeler,Mid-level,Full-time,On-site,2023,United States,140000, USD ,United States,Medium,High,1680000
Data Engineer,Senior-level,Full-time,On-site,2023,United States,140000, USD ,United States,Medium,High,1680000
Prompt Engineer,Senior-level,Full-time,On-site,2023,United States,140000, USD ,United States,Medium,High,1680000
ML Engineer,Senior-level,Full-time,On-site,2023,United States,140000, USD ,United States,Medium,High,1680000
Data Scientist,Senior-level,Full-time,Remote,2023,United States,140000, USD ,United States,Medium,High,1680000
